training_start_date,testing_date,label,gbrt_oosR2,linear_oosR2,plsr_oosR2,lasso_oosR2,nn_oosR2
2018/1/22,2018/10/3,Y_M_1,0.135042027,0.123606731,0.137541846,0.124486347,-0.004340828
2018/1/22,2018/10/3,Y_M_2,0.145935241,0.144917613,0.152806051,0.143258704,0.099739169
2018/1/22,2018/10/3,Y_M_3,0.092783104,0.096110126,0.100978768,0.093084497,0.122271842
2018/1/22,2018/10/3,Y_M_4,0.059469491,0.057803364,0.066404395,0.05428699,0.116360621
2018/1/22,2018/10/3,Y_M_5,0.009242955,0.008999991,0.020797449,0.007525913,0.088470321
2018/1/22,2018/10/4,Y_M_1,0.202445112,0.121329789,0.118909987,0.124925894,-0.001079525
2018/1/22,2018/10/4,Y_M_2,0.105696847,0.032173981,0.022535898,0.040760041,0.04701605
2018/1/22,2018/10/4,Y_M_3,0.035540427,-0.021500655,-0.032674337,-0.012775655,-0.036394327
2018/1/22,2018/10/4,Y_M_4,0.064437253,0.010344374,0.003335606,0.01792039,-0.284886276
2018/1/22,2018/10/4,Y_M_5,0.07206185,0.029823479,0.02931041,0.037000152,0.022843315
2018/1/22,2018/10/5,Y_M_1,0.186383227,0.109047348,0.111421258,0.117040921,-0.000195074
2018/1/22,2018/10/5,Y_M_2,0.18894824,0.095272003,0.0907074,0.0995022,0.124797098
2018/1/22,2018/10/5,Y_M_3,0.193721572,0.10606837,0.102547637,0.107974358,0.09264405
2018/1/22,2018/10/5,Y_M_4,0.130876583,0.078935467,0.080266031,0.079404438,-0.122233047
2018/1/22,2018/10/5,Y_M_5,0.12551383,0.022910203,0.026209557,0.02509324,-0.100246406
2018/1/22,2018/10/8,Y_M_1,0.322403336,0.200802004,0.200340186,0.199202315,-0.000732059
2018/1/22,2018/10/8,Y_M_2,0.267274546,0.153381803,0.150874856,0.155599299,0.1414047
2018/1/22,2018/10/8,Y_M_3,0.214794808,0.116272711,0.111724357,0.117730723,0.097882066
2018/1/22,2018/10/8,Y_M_4,0.185053897,0.100732199,0.095508034,0.102504862,0.066182033
2018/1/22,2018/10/8,Y_M_5,0.141477579,0.07358082,0.068972433,0.074503634,0.058397117
2018/1/22,2018/10/9,Y_M_1,0.195583176,0.158066264,0.152362238,0.158863332,-0.001544129
2018/1/22,2018/10/9,Y_M_2,0.162115018,0.1506413,0.143082804,0.151798621,0.132007292
2018/1/22,2018/10/9,Y_M_3,0.122558091,0.112557485,0.108762676,0.114375432,0.1113391
2018/1/22,2018/10/9,Y_M_4,0.068025712,0.062410297,0.057462808,0.063655555,0.039118545
2018/1/22,2018/10/9,Y_M_5,0.014844948,0.02142752,0.018460518,0.021501515,0.01907012
2018/1/22,2018/10/11,Y_M_1,0.27040349,0.193320986,0.177551445,0.179166117,-0.003704628
2018/1/22,2018/10/11,Y_M_2,0.194677263,0.109981864,0.092770666,0.096452945,0.056115035
2018/1/22,2018/10/11,Y_M_3,0.10932254,0.063114988,0.043441167,0.048345779,0.023145757
2018/1/22,2018/10/11,Y_M_4,0.047635626,0.032896118,0.012467061,0.020599178,-0.082310612
2018/1/22,2018/10/11,Y_M_5,0.026402979,0.004533202,-0.01525714,-0.008676438,-0.017865044
2018/1/22,2018/10/12,Y_M_1,0.178886379,0.166937973,0.162600338,0.167089455,-0.009423718
2018/1/22,2018/10/12,Y_M_2,0.140794323,0.136643181,0.138715234,0.140238442,0.128524638
2018/1/22,2018/10/12,Y_M_3,0.049643052,0.055991441,0.063647977,0.063101218,0.082277931
2018/1/22,2018/10/12,Y_M_4,-0.010750471,-0.000555935,0.0080639,0.006970481,-0.018907641
2018/1/22,2018/10/12,Y_M_5,-0.05417657,-0.034616567,-0.024873008,-0.027483044,-0.021123338
2018/1/22,2018/10/15,Y_M_1,0.191007804,0.183561946,0.157202466,0.174688766,-0.000498934
2018/1/22,2018/10/15,Y_M_2,0.029401373,0.046127593,0.024747949,0.042561761,0.046351264
2018/1/22,2018/10/15,Y_M_3,-0.007672333,-0.009954053,-0.018337369,-0.0104903,-0.040711065
2018/1/22,2018/10/15,Y_M_4,0.013951909,-0.024241893,-0.026193552,-0.025704239,-0.268626513
