0050,1101,1216,1605,2002,2027,2330
GROUP8_1,GROUP9_0,GROUP9_0,GROUP10_1,GROUP1_0,GROUP9_0,GROUP10_1
GROUP9_0,GROUP1_0,GROUP10_1,GROUP9_0,GROUP1_1,GROUP1_0,GROUP9_0
GROUP12,GROUP10_1,GROUP1_0,GROUP1_0,GROUP10_1,GROUP10_1,GROUP8_1
GROUP10_1*GROUP12,GROUP1_1,GROUP6_0*GROUP13_1,GROUP1_1,GROUP8_1,GROUP1_1,GROUP1_0
GROUP8_2,GROUP1_2,GROUP1_1,GROUP8_1,GROUP1_2,GROUP8_1,GROUP1_1
GROUP1_1,GROUP1_4,GROUP6_0,GROUP1_2,GROUP11_1*GROUP9_0,GROUP1_2,GROUP1_2
GROUP1_0,GROUP1_3,GROUP8_1,GROUP1_3,GROUP1_3,GROUP11_2,GROUP6_4
GROUP10_1,GROUP8_1,GROUP6_1,GROUP1_4,GROUP9_0,GROUP1_3,GROUP1_3
GROUP1_2,GROUP6_0,GROUP6_4,GROUP6_0,GROUP1_4,GROUP1_4,GROUP11_1*GROUP9_0
GROUP1_3,GROUP13_3,GROUP1_2,GROUP8_2,GROUP6_0,GROUP12,GROUP8_5
GROUP6_4,GROUP6_1,GROUP11_2,GROUP6_1,GROUP7_1*GROUP10_1,GROUP6_0,GROUP8_2
GROUP8_3,GROUP11_2,GROUP1_4,GROUP15_1*GROUP10_1,GROUP6_2,GROUP8_2,GROUP6_0*GROUP15_1
GROUP1_4,GROUP6_4,GROUP6_3,GROUP15_1*GROUP13_1,GROUP6_1,GROUP13_1,GROUP1_4
GROUP8_5,GROUP8_3,GROUP1_0*GROUP13_1,GROUP11_2,GROUP6_4,GROUP10_1*GROUP12,GROUP7_1*GROUP9_0
GROUP6_3,GROUP13_5,GROUP5_0*GROUP7_1,GROUP8_3,GROUP5_0*GROUP13_1,GROUP7_2,GROUP11_2
GROUP6_2,GROUP6_3,GROUP6_2,GROUP6_2,GROUP6_3,GROUP5_0*GROUP11_1,GROUP13_1
GROUP6_1,GROUP6_2,GROUP1_3,GROUP13_5,GROUP13_5,GROUP7_1*GROUP8_1,GROUP8_3
GROUP11_2,GROUP12,GROUP15_1*GROUP13_1,GROUP11_1*GROUP13_1,GROUP1_0*GROUP10_1,GROUP13_5,GROUP1_0*GROUP7_1
GROUP8_4,GROUP15_1*GROUP13_1,GROUP11_1*GROUP8_1,GROUP6_3,GROUP8_4,GROUP6_1,GROUP11_1*GROUP8_1
GROUP13_4,GROUP6_0*GROUP8_1,GROUP7_1*GROUP8_1,GROUP6_4,GROUP7_1*GROUP8_1,GROUP11_1*GROUP13_1,GROUP10_3
